id;job_title;min_salary;max_salary
1;Районный коммуникационный менеджер;20256;22722
2;Международный операционный техник;21496;30289
3;Районный операционный специалист;2003;9267
4;Национальный логистический дизайнер;25144;8303
5;Генеральный операционный агент;8593;10971
6;Районный интеграционный помощник;27477;27471
7;Областной операционный аналитик;25213;12349
8;Главный страховой менеджер;17731;13533
9;Региональный оптимизационный сотрудник;21612;7475
10;Районный логистический сотрудник;2797;19211
