id;start_date;end_date;language
1;2025-02-27T09:05:24;2025-02-27T11:39:23;ENGLISH
2;2025-02-27T05:43:15;2025-02-27T10:21:26;SPANISH
3;2025-02-27T16:51:52;2025-02-27T11:47:20;SPANISH
4;2025-02-27T05:22:05;2025-02-28T00:58:52;SPANISH
5;2025-02-27T11:13:21;2025-02-28T01:10:12;FRENCH
6;2025-02-27T09:59:28;2025-02-27T23:39:08;FRENCH
7;2025-02-27T15:45:18;2025-02-28T00:24:51;FRENCH
8;2025-02-27T16:54:28;2025-02-28T01:22:26;ENGLISH
9;2025-02-27T21:07:12;2025-02-27T08:22:07;ENGLISH
10;2025-02-28T02:15:08;2025-02-27T08:30:45;SPANISH
