id;street_address;postal_code;city;state_province
1;drat;in minus yogurt;Калининград;innovation
2;splay after;hotfoot pause psst;Усть-Илимск;meh
3;after;mundane;Миллерово;psst coexist
4;gracefully gifted;rare;Светлогорск (Калин.);timely famously best-seller
5;slump zowie misappropriate;pish;Тында;meh tail
6;weep;pish refine;Курчатов;before veto
7;apricot;independence colon cruelty;Красногорск (Моск.);schnitzel
8;ouch;so flat;Ельня;wavy tricky
9;boohoo unless;fuzzy;Березники;video
10;upliftingly;jury always;Меренга;until cassava tricky
